id,post_id,flag_type,created_at,updated_at,deleted_at,deleted_by,related_post_id,targets_topic,was_take_action
46702,31231,inappropriate,2015-12-09 03:13:27 UTC,2015-12-09 15:50:06 UTC,,,,false,false
46701,31228,inappropriate,2015-12-09 03:13:17 UTC,2015-12-09 15:50:08 UTC,,,,false,false
2416356,969265,spam,2017-01-06 16:03:13 UTC,2017-01-06 17:37:00 UTC,,,,false,false
2432888,976819,spam,2017-01-09 01:40:31 UTC,2017-01-09 02:08:22 UTC,,,,false,false
2436961,978757,spam,2017-01-10 00:04:42 UTC,2017-01-10 06:38:55 UTC,,,,false,false
2641029,1056722,spam,2017-02-13 03:18:23 UTC,2017-02-13 06:05:31 UTC,,,,false,false
2641030,1054736,spam,2017-02-13 03:18:44 UTC,2017-02-13 06:04:25 UTC,,,,false,false
2573210,1030936,spam,2017-01-31 02:00:10 UTC,2017-01-31 08:54:16 UTC,,,,false,false
2573216,533289,spam,2017-01-31 02:01:41 UTC,2017-01-31 08:54:04 UTC,,,,false,false
2573211,1032391,spam,2017-01-31 02:00:46 UTC,2017-01-31 08:54:39 UTC,,,,false,false
2603153,1042910,spam,2017-02-05 22:34:59 UTC,2017-02-05 22:41:05 UTC,,,,false,false
2603507,1043691,spam,2017-02-05 23:41:34 UTC,2017-02-06 01:00:16 UTC,,,,false,false
2630785,1053657,spam,2017-02-11 05:57:18 UTC,2017-02-11 10:44:34 UTC,,,,false,false
2957763,1175708,spam,2017-04-12 02:52:48 UTC,2017-04-12 05:09:22 UTC,,,,false,false
2957765,1175635,spam,2017-04-12 02:53:01 UTC,2017-04-12 05:10:39 UTC,2017-04-12 16:10:58 UTC,other,,false,false
3168692,1219781,inappropriate,2017-05-29 16:16:14 UTC,2017-05-29 20:08:37 UTC,,,,false,false
3168695,1219700,inappropriate,2017-05-29 16:16:24 UTC,2017-05-29 20:08:39 UTC,,,,false,false
3037193,1204771,spam,2017-04-27 23:35:46 UTC,2017-04-28 11:37:14 UTC,,,,false,false
3037799,1204791,spam,2017-04-28 01:33:13 UTC,2017-04-28 02:15:57 UTC,,,,false,false
3037186,1204478,spam,2017-04-27 23:35:17 UTC,2017-04-28 02:27:03 UTC,,,,false,false
3038129,1205295,spam,2017-04-28 02:36:11 UTC,2017-04-28 11:37:12 UTC,,,,false,false
3055895,1210616,off_topic,2017-05-02 03:34:13 UTC,2017-05-02 08:11:43 UTC,,,,false,false
3074452,1216287,spam,2017-05-06 17:42:49 UTC,2017-05-06 20:04:37 UTC,,,,false,false
3082065,1219123,spam,2017-05-08 15:07:19 UTC,2017-05-08 17:06:16 UTC,,,,true,false
3089798,1221927,spam,2017-05-10 12:33:38 UTC,2017-05-10 12:33:38 UTC,2017-05-10 12:33:40 UTC,self,,false,false
3089807,1221933,inappropriate,2017-05-10 12:47:07 UTC,2017-05-10 12:47:07 UTC,2017-05-10 12:47:13 UTC,self,,false,false
3089799,1221927,inappropriate,2017-05-10 12:33:43 UTC,2017-05-10 14:22:37 UTC,,,,false,false
3091483,1222659,inappropriate,2017-05-10 21:08:50 UTC,2017-05-11 08:00:48 UTC,,,,false,false
3091482,1222669,inappropriate,2017-05-10 21:08:24 UTC,2017-05-11 08:00:52 UTC,,,,false,false
3098826,1225204,inappropriate,2017-05-12 14:40:25 UTC,2017-05-13 20:07:54 UTC,,,,false,false
3098825,1225118,inappropriate,2017-05-12 14:40:18 UTC,2017-05-13 20:07:56 UTC,,,,false,false
3198757,1262242,spam,2017-06-04 15:58:54 UTC,2017-06-04 22:27:10 UTC,,,,false,false
3199752,1265235,spam,2017-06-04 23:22:42 UTC,2017-06-04 23:51:13 UTC,,,,false,false
3211792,1270844,spam,2017-06-08 01:42:32 UTC,2017-06-08 01:49:15 UTC,,,,false,false
3215640,1272159,spam,2017-06-10 01:15:53 UTC,2017-06-10 08:25:53 UTC,,,,false,false
3221095,1274614,spam,2017-06-12 01:19:35 UTC,2017-06-12 02:04:01 UTC,,,,false,false
3221094,1274149,off_topic,2017-06-12 01:19:17 UTC,2017-06-12 02:04:04 UTC,,,,false,false
3301589,1311572,inappropriate,2017-07-05 17:50:47 UTC,2017-07-06 02:08:44 UTC,,,,false,false
3301554,1311430,inappropriate,2017-07-05 17:33:51 UTC,2017-07-06 02:09:18 UTC,,,,false,false
3203336,1267037,off_topic,2017-06-05 22:50:50 UTC,2017-06-05 22:53:04 UTC,2017-07-06 19:26:54 UTC,other,,false,false
4054307,1603071,inappropriate,2018-01-02 14:21:34 UTC,2018-01-02 19:02:16 UTC,,,,false,false
4054270,1603050,inappropriate,2018-01-02 14:05:58 UTC,2018-01-02 19:02:14 UTC,,,,false,false
4054758,1603199,spam,2018-01-02 15:32:26 UTC,2018-01-03 03:22:54 UTC,,,,false,false
4035806,1595893,inappropriate,2017-12-30 21:46:48 UTC,2017-12-31 00:26:16 UTC,,,,false,false
4125698,1626893,inappropriate,2018-01-15 03:53:12 UTC,2018-01-15 06:01:57 UTC,,,,false,false
4125699,1626870,inappropriate,2018-01-15 03:53:24 UTC,2018-01-15 06:02:07 UTC,,,,false,false
4125719,1626909,inappropriate,2018-01-15 03:56:18 UTC,2018-01-15 06:02:24 UTC,,,,false,false
4125714,1626917,inappropriate,2018-01-15 03:55:57 UTC,2018-01-15 06:02:14 UTC,,,,false,false
4125717,1626922,inappropriate,2018-01-15 03:56:07 UTC,2018-01-15 06:02:19 UTC,,,,false,false
2014883,767637,off_topic,2016-10-28 18:55:56 UTC,2016-10-29 01:56:59 UTC,,,,false,false
4160658,1641375,inappropriate,2018-01-19 21:52:20 UTC,2018-01-20 12:11:27 UTC,,,,false,false
4160657,1641399,inappropriate,2018-01-19 21:52:01 UTC,2018-01-20 12:11:24 UTC,,,,false,false
4160656,1641415,inappropriate,2018-01-19 21:51:48 UTC,2018-01-20 12:11:25 UTC,,,,false,false
4207733,1657350,inappropriate,2018-01-28 16:20:12 UTC,2018-01-29 03:31:41 UTC,,,,false,false
4207737,1620060,inappropriate,2018-01-28 16:20:40 UTC,2018-01-29 03:31:40 UTC,,,,false,false
5981306,2397042,notify_moderators,2019-06-13 23:52:10 UTC,2019-06-13 23:52:35 UTC,,,2397046,false,false
4228622,1666131,spam,2018-02-01 04:59:38 UTC,2018-02-01 09:20:40 UTC,,,,false,false
4228623,1665530,spam,2018-02-01 05:00:21 UTC,2018-02-01 09:20:31 UTC,,,,false,false
4228620,1667310,spam,2018-02-01 04:59:23 UTC,2018-02-01 09:21:03 UTC,,,,false,false
4248887,1674560,inappropriate,2018-02-05 01:12:22 UTC,2018-02-05 03:09:54 UTC,,,,false,false
4248892,1674551,inappropriate,2018-02-05 01:13:02 UTC,2018-02-05 03:09:53 UTC,,,,false,false
4249118,1674549,inappropriate,2018-02-05 01:37:09 UTC,2018-02-05 03:09:50 UTC,,,,false,false
4248896,1674544,inappropriate,2018-02-05 01:13:36 UTC,2018-02-05 03:09:52 UTC,,,,false,false
4270013,1660189,spam,2018-02-09 16:29:53 UTC,2018-02-10 12:11:26 UTC,,,,false,false
4270011,1670235,spam,2018-02-09 16:29:40 UTC,2018-02-10 12:11:31 UTC,,,,false,false
4320065,1696397,inappropriate,2018-02-19 18:50:31 UTC,2018-02-20 03:20:27 UTC,,,,false,false
4320043,1700143,inappropriate,2018-02-19 18:47:47 UTC,2018-02-20 03:20:35 UTC,,,,false,false
4328607,1704284,spam,2018-02-21 11:47:28 UTC,2018-02-21 15:09:04 UTC,,,,false,false
4344312,1710445,spam,2018-02-24 22:50:35 UTC,2018-02-25 03:16:36 UTC,,,,false,false
4400690,1601777,inappropriate,2018-03-07 20:21:54 UTC,2018-03-08 09:19:42 UTC,,,,false,false
4400688,1601761,inappropriate,2018-03-07 20:21:41 UTC,2018-03-08 09:19:48 UTC,,,,false,false
4400689,1601771,inappropriate,2018-03-07 20:21:50 UTC,2018-03-08 09:19:45 UTC,,,,false,false
4400691,1601783,inappropriate,2018-03-07 20:21:59 UTC,2018-03-08 09:14:47 UTC,,,,false,false
4400662,1601648,inappropriate,2018-03-07 20:19:19 UTC,2018-03-07 20:19:19 UTC,2018-03-07 20:36:43 UTC,other,,false,false
4904343,1910802,spam,2018-08-22 06:43:35 UTC,2018-08-22 09:47:10 UTC,,,,false,false
4904344,1910807,spam,2018-08-22 06:43:40 UTC,2018-08-22 09:47:05 UTC,,,,false,false
4904346,1910806,spam,2018-08-22 06:43:53 UTC,2018-08-22 09:47:03 UTC,,,,false,false
4904398,1910805,spam,2018-08-22 06:56:02 UTC,2018-08-22 09:46:18 UTC,,,,false,false
4924494,1830986,spam,2018-08-30 05:56:31 UTC,2018-08-30 09:17:43 UTC,,,,false,false
5063541,1979797,spam,2018-10-20 05:59:25 UTC,2018-10-20 05:59:25 UTC,2018-10-20 07:03:50 UTC,other,,false,false
5073178,1984724,spam,2018-10-23 11:22:43 UTC,2018-10-23 11:57:38 UTC,,,,false,false
5101843,1997661,spam,2018-11-02 07:27:31 UTC,2018-11-02 12:31:45 UTC,,,,false,false
5115539,2005589,spam,2018-11-05 06:18:51 UTC,2018-11-05 12:19:13 UTC,,,,false,false
5115559,2005614,off_topic,2018-11-05 06:21:13 UTC,2018-11-05 12:19:08 UTC,,,,false,false
5175555,2034228,off_topic,2018-11-23 04:56:43 UTC,2018-11-23 16:12:25 UTC,,,,false,false
5175554,2034233,off_topic,2018-11-23 04:56:38 UTC,2018-11-23 16:12:28 UTC,,,,false,false
5694158,2255264,notify_moderators,2019-04-02 20:21:48 UTC,2019-04-02 20:25:50 UTC,,,2262261,false,false
5814785,2330674,inappropriate,2019-04-26 02:14:35 UTC,2019-04-26 02:14:35 UTC,,,,false,false
